HORARIO_FUNCIONAMENTO;OPCOES_DE_SERVICO;URL
"segunda-feira
10:30–13:30
terça-feira
10:30–13:30
quarta-feira
10:30–13:30
quinta-feira
10:30–13:30
sexta-feira
10:30–13:30
sábado
10:30–13:30
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+BOM+GOSTO+MT+CAMPO+NOVO+DO+PARECIS+CENTRO
;;https://www.google.com/maps/search/KATIA+RESTAURANTE+PR+MARECHAL+CANDIDO+RONDON+CENTRO
"segunda-feira
10:00–22:00
terça-feira
10:00–22:00
quarta-feira
10:00–22:00
quinta-feira
10:00–22:00
sexta-feira
10:00–22:00
sábado
10:00–22:00
domingo
10:00–22:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/DIVINO+FOGÃO+CE+FORTALEZA+PARANGABA
"segunda-feira
11:45–15:00
terça-feira
11:45–15:00
quarta-feira
11:45–15:00
quinta-feira
11:45–15:00
sexta-feira
11:45–15:00
sábado
Fechado
domingo
Fechado";"Opções de serviço
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/SAMPA+PRIME+GOURMET+SP+SAO+PAULO+JARDIM+SAO+LUIS
"segunda-feira
10:00–00:00
terça-feira
10:00–00:00
quarta-feira
10:00–00:00
quinta-feira
10:00–00:00
sexta-feira
10:00–00:00
sábado
10:00–00:00
domingo
10:00–00:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/SUBWAY+BA+ITABUNA+SAO+CAETANO
"segunda-feira
17:00–23:00
terça-feira
17:00–23:00
quarta-feira
17:00–23:00
quinta-feira
17:00–23:00
sexta-feira
17:00–23:00
sábado
17:00–23:00
domingo
17:00–23:00";"Opções de serviço
Retirada na porta
Entrega sem contato
Entrega
Drive-through
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTEE+CENTRAL+MA+FORMOSA+DA+SERRA+NEGRA+rua++tancredos++neves++n++77
;;https://www.google.com/maps/search/A+Cabana+do+Possidonio+PB+JOAO+PESSOA+MANAIRA
;;https://www.google.com/maps/search/RESTAURANTE++PIZZARIA+E+POUSADA+VICTOR+PR+RIBEIRAO+CLARO+CENTRO
"segunda-feira
10:00–19:00
terça-feira
10:00–19:00
quarta-feira
10:00–19:00
quinta-feira
10:00–19:00
sexta-feira
10:00–19:00
sábado
10:00–19:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Retirada na loja
Compras na loja
Entrega no mesmo dia";https://www.google.com/maps/search/Takedo+Fish+Market+RS+PORTO+ALEGRE+PETROPOLIS
;;https://www.google.com/maps/search/BAR+E+LANCHONETE+DO+MANDI+SC+CHAPECO+BELVEDERE
"segunda-feira
09:00–17:00
terça-feira
09:00–17:00
quarta-feira
09:00–17:00
quinta-feira
09:00–17:00
sexta-feira
09:00–17:00
sábado
09:00–17:00
domingo
Fechado";"Opções de serviço
Retirada na porta
Entrega
Retirada na loja
Compras na loja
Para viagem
Entrega no mesmo dia";https://www.google.com/maps/search/SORVETERIA+MAE+&+FILHOS+PB+BELEM+CENTRO
;;https://www.google.com/maps/search/GERSON+DE+MELO+VIEIRA+71538089904++PR+SAPOPEMA+centro
;;https://www.google.com/maps/search/SABOR+BRASIL+SP+APARECIDA+CENTRO
"segunda-feira
15:00–23:00
terça-feira
15:00–23:00
quarta-feira
15:00–23:00
quinta-feira
15:00–23:00
sexta-feira
15:00–23:00
sábado
15:00–23:00
domingo
15:00–23:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/LANCHONETE+E+SORVETERIA+AVENIDA+AC+SENA+MADUREIRA+BOSQUE
;;https://www.google.com/maps/search/RESTAURANTE+BELA+VISTA+RS+FREDERICO+WESTPHALEN+SAO+CRISTOVAO
"segunda-feira
08:00–18:00
terça-feira
08:00–18:00
quarta-feira
08:00–18:00
quinta-feira
08:00–18:00
sexta-feira
08:00–18:00
sábado
08:00–18:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/THE+COFFEE+491+MG+PARAGUACU+PARQUE+DOS+PINHEIROS
"segunda-feira
11:00–22:00
terça-feira
11:00–22:00
quarta-feira
11:00–22:00
quinta-feira
11:00–22:00
sexta-feira
11:00–22:00
sábado
11:00–22:00
domingo
11:00–22:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+DA+MARA+BA+VALENCA+TENTO
"segunda-feira
08:00–23:00
terça-feira
08:00–23:00
quarta-feira
08:00–23:00
quinta-feira
08:00–23:00
sexta-feira
08:00–23:00
sábado
10:00–23:00
domingo
18:00–23:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/LAUX+BAR+RESTAURANTE+E+LANCHERIA+RS+BARAO+DO+TRIUNFO+CENTRO
"segunda-feira
11:00–14:00
18:00–23:00
terça-feira
11:00–14:00
18:00–23:00
quarta-feira
11:00–14:00
18:00–23:00
quinta-feira
11:00–14:00
18:00–23:00
sexta-feira
11:00–14:00
18:00–23:00
sábado
11:00–14:00
18:00–23:00
domingo
18:00–23:00";"Opções de serviço
Mesas externas
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/DEGRAUS+LANCHES+RO+COLORADO+DO+OESTE+CENTRO
"segunda-feira
08:00–17:00
terça-feira
08:00–17:00
quarta-feira
08:00–17:00
quinta-feira
08:00–17:00
sexta-feira
08:00–17:00
sábado
08:00–17:00
domingo
08:00–17:00";"Opções de serviço
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+GENERAL+KUSTER+SC+PENHA+ARMACAO+ITAPOCOROY
"segunda-feira
10:00–00:00
terça-feira
10:00–00:00
quarta-feira
10:00–00:00
quinta-feira
10:00–00:00
sexta-feira
10:00–00:00
sábado
10:00–00:00
domingo
10:00–00:00";"Da empresa
Se identifica como uma empresa de empreendedoras";https://www.google.com/maps/search/COISA+DE+CARIOQUINHA+RJ+RIO+DE+JANEIRO+COPACABANA
;;https://www.google.com/maps/search/FOGO+NA+TELHA+PE+GARANHUNS+HELIOPOLIS
"segunda-feira
17:30–23:30
terça-feira
17:30–23:30
quarta-feira
Fechado
quinta-feira
17:30–23:30
sexta-feira
17:30–23:30
sábado
17:00–23:00
domingo
17:30–23:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/PIZZARIA+BELLA+PIZZA+MG+JANUARIA+VILA+JADETE
;;https://www.google.com/maps/search/HOTEL+E+RESTAURANTE+VITORIA+RS+NOVA+PRATA+SANTA+CRUZ
"segunda-feira
11:00–14:00
terça-feira
11:00–14:00
quarta-feira
11:00–14:00
quinta-feira
11:00–14:00
sexta-feira
11:00–14:00
sábado
11:00–15:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/Mercato+da+Villa+Restaurante+SP+GUARATINGUETA+VILA+PARAIBA
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
Fechado
quinta-feira
12:00–15:00
sexta-feira
12:00–15:00
19:00–23:00
sábado
12:00–15:00
19:00–23:00
domingo
12:00–22:00";"Opções de serviço
Entrega sem contato
Entrega
Refeição no local";https://www.google.com/maps/search/Estância+Gourmet+MG+ALTO+CAPARAO+VALE+DAS+HORTENCIAS
;;https://www.google.com/maps/search/PASTO+&+PIZZAS+CE+EUSEBIO+TAMATANDUBA
"segunda-feira
16:00–00:00
terça-feira
16:00–00:00
quarta-feira
16:00–00:00
quinta-feira
16:00–00:00
sexta-feira
16:00–02:00
sábado
11:30–02:00
domingo
11:30–02:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/BOTECO+CARIOCA+BA+SERRA+PRETA+CENTRO-BRAVO
"segunda-feira
12:00–00:00
terça-feira
12:00–00:00
quarta-feira
12:00–00:00
quinta-feira
12:00–00:00
sexta-feira
12:00–00:00
sábado
12:00–00:00
domingo
12:00–00:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/MARGARIDA+RJ+PARATY+CENTRO+HISTORICO
"segunda-feira
18:00–00:00
terça-feira
18:00–00:00
quarta-feira
18:00–00:00
quinta-feira
18:00–00:00
sexta-feira
18:00–00:00
sábado
10:00–00:00
domingo
10:00–00:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/SPACO+DHELTA+PI+CRISTINO+CASTRO+CENTRO
"segunda-feira
11:00–15:30
terça-feira
11:00–15:30
quarta-feira
11:00–15:30
quinta-feira
11:00–15:30
sexta-feira
11:00–15:30
sábado
Fechado
domingo
Fechado";"Opções de serviço
Entrega sem contato
Refeição no local
Para viagem";https://www.google.com/maps/search/Restaurante+Linox+RJ+RIO+DE+JANEIRO+CENTRO
"segunda-feira
11:00–14:00
terça-feira
11:00–14:00
quarta-feira
11:00–14:00
quinta-feira
11:00–14:00
sexta-feira
11:00–14:00
sábado
11:00–14:00
domingo
Fechado";"Opções de serviço
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+DO+ZE+GO+URUACU+CENTRO
;;https://www.google.com/maps/search/BAZZA+RESTAURANTE+ES+GUACUI+SITIO+GRAMINHA++ZONA+RURAL
;;https://www.google.com/maps/search/Sushi+Box++MG+JUIZ+DE+FORA+SAO+MATEUS
;;https://www.google.com/maps/search/PARRILLADA+MALDONADO+SP+VOTORANTIM+PARQUE+BELA+VISTA
"segunda-feira
Fechado
terça-feira
09:00–17:00
quarta-feira
09:00–17:00
quinta-feira
09:00–17:00
sexta-feira
09:00–17:00
sábado
09:00–17:00
domingo
09:00–17:00";"Opções de serviço
Refeição no local";https://www.google.com/maps/search/QUIOSQUE+MARATIMBA+ES+GUARAPARI+PRAIA+DO+MORRO
;;https://www.google.com/maps/search/CHURRASCARIA+ESPETTUS+MG+GOVERNADOR+VALADARES+SAO+PAULO
"segunda-feira
Fechado
terça-feira
17:30–00:00
quarta-feira
17:30–00:00
quinta-feira
17:30–00:00
sexta-feira
17:30–00:00
sábado
16:30–23:30
domingo
Fechado";"Opções de serviço
Mesas externas
Refeição no local";https://www.google.com/maps/search/CIPRIANO+ESPETERIA+MG+BELO+HORIZONTE+SANTO+ANTONIO
;;https://www.google.com/maps/search/CABRONES+SC+ITAJAI+CENTRO
;;https://www.google.com/maps/search/RAFAEL+DA+SILVA+VALE+SP+CAMPOS+DO+JORDAO+VILA+CAPIVARI
;;https://www.google.com/maps/search/BALNEARIO+SANTO+ANTONIO+GO+GOIAS+ZONA+RURAL
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
Fechado
quinta-feira
19:00–23:00
sexta-feira
19:00–23:00
sábado
19:00–23:00
domingo
11:00–14:00";"Opções de serviço
Para viagem
Refeição no local";https://www.google.com/maps/search/BROETTO+ES+ARACRUZ+ZONA+RURAL
"segunda-feira
18:00–04:00
terça-feira
18:00–04:00
quarta-feira
18:00–04:00
quinta-feira
18:00–04:00
sexta-feira
18:00–04:00
sábado
18:00–04:00
domingo
18:00–00:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/TURBO+LANCHES+MG+LAGAMAR+BRASIL
"segunda-feira
10:00–22:00
terça-feira
10:00–22:00
quarta-feira
10:00–22:00
quinta-feira
10:00–22:00
sexta-feira
10:00–22:00
sábado
10:00–22:00
domingo
12:00–21:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/La+Casa+Di+Frango+Express++PR+CURITIBA+JARDIM+DAS+AMERICAS
"segunda-feira
12:00–15:00
19:00–22:30
terça-feira
12:00–15:00
19:00–22:30
quarta-feira
12:00–15:00
19:00–22:30
quinta-feira
12:00–15:00
19:00–22:30
sexta-feira
12:00–15:00
19:00–22:30
sábado
12:00–15:30
19:00–22:30
domingo
Fechado";"Opções de serviço
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/NAGAYAMA+CAFE+SP+SAO+PAULO+ITAIM+BIBI
"segunda-feira
09:00–15:00
terça-feira
09:00–15:00
quarta-feira
09:00–15:00
quinta-feira
09:00–15:00
sexta-feira
09:00–15:00
sábado
09:00–15:00
domingo
09:00–15:00";"Opções de serviço
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+KI+SABOR+MG+ABRE+CAMPO+CENTRO
"segunda-feira
11:00–22:30
terça-feira
11:00–22:30
quarta-feira
11:00–23:00
quinta-feira
11:00–23:00
sexta-feira
11:00–23:30
sábado
11:00–00:00
domingo
11:00–23:00";"Opções de serviço
Mesas externas
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/RESTAURANTE+CHAPA+MG+CAXAMBU+CENTRO
"segunda-feira
08:00–18:00
terça-feira
09:00–18:00
quarta-feira
09:00–18:00
quinta-feira
09:00–18:00
sexta-feira
08:00–18:00
sábado
Fechado
domingo
Fechado";"Opções de serviço
Para viagem
Refeição no local";https://www.google.com/maps/search/CHURRASCARIA+DO+GAUCHO+SC+MAJOR+VIEIRA+CENTRO+MJ
"segunda-feira
11:00–15:00
terça-feira
11:00–15:00
quarta-feira
11:00–15:00
quinta-feira
11:00–15:00
sexta-feira
11:00–15:00
sábado
11:00–15:00
domingo
11:00–15:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/SABOR+GRILL+RESTAURANTE+GO+ALEXANIA+CENTRO
"segunda-feira
10:00–15:00
terça-feira
10:00–15:00
quarta-feira
10:00–15:00
18:00–22:30
quinta-feira
10:00–15:00
18:00–22:30
sexta-feira
10:00–15:30
18:00–23:00
sábado
11:00–16:30
18:00–23:00
domingo
10:00–16:30
18:00–23:00";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/SOBERANO+STEAK+HOUSE+MG+ANDRADAS+CENTRO
"segunda-feira
10:00–22:00
terça-feira
10:00–22:00
quarta-feira
10:00–22:00
quinta-feira
10:00–22:00
sexta-feira
10:00–22:00
sábado
10:00–22:00
domingo
10:00–22:00";"Opções de serviço
Mesas externas
Retirada na porta
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/PATRONI+PI+PARNAIBA+REIS+VELOSO
;;https://www.google.com/maps/search/RESTAURANTE+DALNETE+SC+NOVA+TRENTO+VIGOLO
"segunda-feira
18:00–23:00
terça-feira
18:00–23:00
quarta-feira
18:00–23:00
quinta-feira
18:00–23:00
sexta-feira
18:00–23:00
sábado
18:00–23:00
domingo
Fechado";"Opções de serviço
Entrega sem contato
Para viagem
Refeição no local";https://www.google.com/maps/search/ARRIBA+MEXICAN+BAR+SC+JARAGUA+DO+SUL+CENTRO
"segunda-feira
Fechado
terça-feira
10:00–18:00
quarta-feira
10:00–18:00
quinta-feira
10:00–18:00
sexta-feira
10:00–18:00
sábado
09:00–18:00
domingo
10:00–18:00";"Opções de serviço
Mesas externas
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/BALNEARIO+BEIRA+LAGO+BA+CASA+NOVA+SEDE
"segunda-feira
11:00–23:00
terça-feira
11:00–23:00
quarta-feira
11:00–23:00
quinta-feira
11:00–23:00
sexta-feira
11:00–23:00
sábado
11:00–23:00
domingo
11:00–23:00";"Opções de serviço
Para viagem
Refeição no local";https://www.google.com/maps/search/CIA+PALATO+RS+IMBE+CENTRO
"segunda-feira
Fechado
terça-feira
Fechado
quarta-feira
Fechado
quinta-feira
Fechado
sexta-feira
Fechado
sábado
12:00–15:30
domingo
12:00–15:30";"Opções de serviço
Entrega sem contato
Entrega
Para viagem
Refeição no local";https://www.google.com/maps/search/MUNDO+DOS+SABORES+PA+PARAUAPEBAS+NUCLEO+URBANO+DE+CARAJAS
;;https://www.google.com/maps/search/SELF+SERVICE+SHIRLEY+HOUSE+RN+TIBAU+DO+SUL+PIPA
;;https://www.google.com/maps/search/RESTAURANTE+PAPPI'S+PR+PARANAGUA+CENTRO+HISTORICO
;;https://www.google.com/maps/search/RESTAURANTE+CASA+BOSO+SC+NOVA+TRENTO+VIGOLO
